Probability, Error, Relative error, $N$

2.520$\times 10^{-4}$, 9.620$\times 10^{-5}$, 38\%, 100 
3.887$\times 10^{-4}$, 3.227$\times 10^{-5}$, 8\%, 1000 
6.026$\times 10^{-4}$, 1.993$\times 10^{-6}$, 0.33\%, 100000 
